,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,length
0,447.7202226431905,453.49694239260714,447.03910430862857,466.59290058651794,434.37108134798274,476.39356026500684,426.5333826935132,498.9662208953903,389.58326161173443,495.58874529856985,388.6802252051026,473.7168711964124,427.2611153816575,488.23560105390396,420.00409538643146,495.28306527442425,407.6390167508402,3.1031
1,445.4502385721873,453.6108578686197,445.5425136617176,465.8653216199039,434.2198653596649,476.66063356895506,426.38600727778487,497.8414867112045,396.52909209434205,486.3336684976609,393.03686133465476,470.35252178583244,429.9726951565112,488.56652813893015,420.1030770878558,495.46489743917164,407.7876239793616,0.0
2,447.8575497042017,454.24534518509705,444.2807469360896,465.5097827656308,434.9299475342523,476.7690858089906,426.72418784244985,498.04538539756106,405.0032036655194,484.7167645662713,405.06491129678216,470.6855683234613,430.05104552406436,481.9244874497934,420.375899475007,495.22414503621843,407.64042269067636,0.0
3,446.5998463963683,454.03725622667423,445.0852737313394,466.84164718922676,433.6035913290985,475.3930157325597,424.9486701591231,490.95321813982986,405.97107523086345,461.5227414452835,413.46705466464584,470.3863133151322,427.64197883776006,481.63045217165444,420.583484757354,495.0207279199654,407.2808544277968,0.0
4,446.1036339769746,453.89569128073344,445.5195112072518,467.4651165490342,433.9865694712034,475.1110945272233,425.03962977325756,488.2688089855359,405.6369118314973,469.2071685110832,419.90362612311947,470.9889853762305,427.87633751334977,488.55208647729387,420.4426309435364,494.8644815476122,407.31049309513725,0.0
5,445.6825907056789,454.0982545963191,445.03470070826177,463.100434483249,433.8702214242445,475.1521555204803,427.7306394307787,488.032075108249,406.77643457103807,467.1305600034535,422.4185579705203,470.32336638905497,430.1033258083848,488.58811173006825,420.29625947904094,495.02363638573206,407.10530273981647,0.0
6,445.89953055530566,454.42624889900924,444.27304249461656,464.20269811667094,433.7380410268084,475.1869758277202,428.0928059956294,488.15888176701225,407.4742786243093,463.5417363477143,425.00375007980824,470.0102546771249,429.41306580406064,488.30024571865135,420.37879297673084,495.0362707991126,407.3575050161285,0.0
7,446.3245603836309,454.4923039247873,444.2075210729999,464.0277548530658,434.364562636853,474.0960505175201,428.2269246298349,481.9739119825888,406.64625556118244,462.1826815782295,426.12186607598903,469.79637497424375,429.7077050853803,488.2330013915653,420.31587325800405,495.0780266000824,407.20370152375676,0.0
8,446.5120598394839,454.2885786852901,444.74851134981833,464.29445490617456,434.34302053692437,474.023663321009,428.19526207571045,483.5363947512668,407.26077982433486,462.6634776326558,409.19814315274425,469.4256204092131,429.31495337748424,488.9335328508805,419.9300451406221,495.03144897642323,406.96750737228507,0.0
9,446.37910976098163,454.51765828465636,444.29184209361654,463.2787392150063,435.0776028455987,474.2425206086611,428.93004010726224,484.22627113194915,408.0370096147149,465.9336066281459,409.538254078926,469.524000148008,428.7893781052656,488.8336192977021,420.2625903828183,494.8145601405786,407.24122046007267,0.0
