leftHip,rightHip
-1.4597183298661973,-1.4629165642414115
-1.4597610182296998,-1.4600447407018395
-1.4598037065932028,-1.4571729171622676
-1.4598463949567053,-1.4543010936226957
-1.4598890833202078,-1.4514292700831237
-1.4599317716837106,-1.4485574465435518
-1.459974460047213,-1.4456856230039798
-1.4600171484107158,-1.4428137994644081
-1.4600598367742184,-1.4399419759248362
-1.4601025251377209,-1.437070152385264
-1.4601452135012236,-1.4341983288456923
-1.4601879018647261,-1.4313265053061204
-1.4602305902282287,-1.4284546817665484
-1.4602732785917314,-1.4255828582269765
-1.460315966955234,-1.4227110346874048
-1.4603586553187364,-1.4198392111478326
-1.4604013436822392,-1.4169673876082607
-1.4604440320457417,-1.414095564068689
-1.4604867204092442,-1.4112237405291168
-1.460529408772747,-1.408351916989545
-1.4605720971362495,-1.4054800934499732
-1.4606147854997522,-1.4026082699104014
-1.4606574738632547,-1.3997364463708293
-1.4607001622267575,-1.3968646228312573
-1.4607428505902602,-1.3939927992916856
-1.4607855389537627,-1.3911209757521135
-1.4608282273172652,-1.3882491522125417
-1.460870915680768,-1.3853773286729698
-1.4609136040442705,-1.3825055051333976
-1.4609562924077732,-1.379633681593826
-1.4609989807712758,-1.376761858054254
-1.4610416691347785,-1.373890034514682
-1.461084357498281,-1.3710182109751101
-1.4611270458617835,-1.3681463874355382
-1.4611697342252863,-1.3652745638959662
-1.4612124225887888,-1.3624027403563943
-1.4612551109522913,-1.3595309168168226
-1.461297799315794,-1.3566590932772506
-1.4613404876792966,-1.3537872697376785
-1.461383176042799,-1.3509154461981068
-1.4614258644063018,-1.3480436226585348
-1.4614685527698046,-1.345171799118963
-1.461511241133307,-1.3422999755793912
-1.4615539294968096,-1.3394281520398192
-1.4615966178603124,-1.336556328500247
-1.4616393062238149,-1.3336845049606754
-1.4616819945873174,-1.3308126814211034
-1.4617246829508201,-1.3279408578815315
-1.4617673713143227,-1.3250690343419596
-1.4618100596778252,-1.3221972108023876
-1.461852748041328,-1.3193253872628157
-1.4618954364048307,-1.3164535637232437
-1.4619381247683332,-1.3135817401836718
-1.4619808131318357,-1.3107099166440999
-1.4620235014953384,-1.307838093104528
-1.462066189858841,-1.3049662695649562
-1.4621088782223435,-1.3020944460253843
-1.4621515665858462,-1.299222622485812
-1.462194254949349,-1.2963507989462404
-1.4622369433128513,-1.2934789754066685
-1.462279631676354,-1.2906071518670965
-1.4623223200398567,-1.2877353283275248
-1.4623650084033595,-1.2848635047879529
-1.4624076967668618,-1.281991681248381
-1.4624503851303645,-1.279119857708809
-1.4624930734938673,-1.276248034169237
-1.4625357618573696,-1.273376210629665
-1.4625784502208723,-1.2705043870900932
-1.462621138584375,-1.2676325635505212
-1.4626638269478776,-1.2647607400109493
-1.4627065153113803,-1.2618889164713774
-1.4627492036748828,-1.2590170929318054
-1.4627918920383853,-1.2561452693922335
-1.462834580401888,-1.2532734458526615
-1.4628772687653906,-1.2504016223130898
-1.4629199571288933,-1.2475297987735179
-1.4629626454923959,-1.244657975233946
-1.4630053338558984,-1.241786151694374
-1.4630480222194011,-1.238914328154802
-1.4630907105829036,-1.2360425046152304
-1.4631333989464061,-1.2331706810756584
-1.463176087309909,-1.2302988575360863
-1.4632187756734114,-1.2274270339965145
-1.463261464036914,-1.2245552104569426
-1.4633041524004167,-1.2216833869173707
-1.4633468407639192,-1.2188115633777987
-1.4633895291274222,-1.2159397398382268
-1.4634322174909244,-1.2130679162986548
-1.4634749058544272,-1.210196092759083
-1.46351759421793,-1.207324269219511
-1.4635602825814324,-1.2044524456799393
-1.463602970944935,-1.2015806221403673
-1.4636456593084377,-1.1987087986007952
-1.4636883476719402,-1.1958369750612234
-1.463731036035443,-1.1929651515216515
-1.4637737243989455,-1.1900933279820796
-1.463816412762448,-1.1872215044425076
-1.4638591011259507,-1.184349680902936
-1.4639017894894533,-1.1814778573633637
-1.4637948284211273,-1.1815803304898658
-1.4636878673528009,-1.1816828036163676
-1.463580906284475,-1.1817852767428696
-1.463473945216149,-1.1818877498693716
-1.4633669841478225,-1.1819902229958734
-1.4632600230794965,-1.1820926961223752
-1.4631530620111703,-1.1821951692488775
-1.4630461009428442,-1.1822976423753793
-1.4629391398745182,-1.182400115501881
-1.462832178806192,-1.1825025886283829
-1.4627252177378658,-1.1826050617548851
-1.4626182566695398,-1.182707534881387
-1.4625112956012136,-1.1828100080078887
-1.4624043345328874,-1.1829124811343907
-1.4622973734645612,-1.1830149542608925
-1.4621904123962353,-1.1831174273873946
-1.462083451327909,-1.1832199005138966
-1.4619764902595829,-1.1833223736403984
-1.4618695291912567,-1.1834248467669004
-1.4617625681229307,-1.1835273198934022
-1.4616556070546045,-1.1836297930199042
-1.4615486459862783,-1.183732266146406
-1.4614416849179523,-1.183834739272908
-1.4613347238496261,-1.1839372123994099
-1.4612277627813,-1.1840396855259119
-1.4611208017129738,-1.184142158652414
-1.4610138406446478,-1.1842446317789157
-1.4609068795763216,-1.1843471049054175
-1.4607999185079954,-1.1844495780319195
-1.4606929574396694,-1.1845520511584215
-1.4605859963713432,-1.1846545242849233
-1.460479035303017,-1.1847569974114254
-1.460372074234691,-1.1848594705379272
-1.4602651131663649,-1.1849619436644292
-1.4601581520980387,-1.1850644167909312
-1.4600511910297127,-1.185166889917433
-1.4599442299613865,-1.185269363043935
-1.4598372688930603,-1.1853718361704368
-1.4597303078247341,-1.1854743092969389
-1.4596233467564081,-1.185576782423441
-1.459516385688082,-1.1856792555499425
-1.4594094246197558,-1.1857817286764445
-1.4593024635514298,-1.1858842018029465
-1.4591955024831036,-1.1859866749294485
-1.4590885414147774,-1.1860891480559503
-1.4589815803464514,-1.1861916211824524
-1.458874619278125,-1.1862940943089542
-1.458767658209799,-1.1863965674354562
-1.458660697141473,-1.186499040561958
-1.4585537360731466,-1.1866015136884598
-1.4584467750048207,-1.1867039868149618
-1.4583398139364947,-1.1868064599414638
-1.4582328528681683,-1.1869089330679659
-1.4581258917998423,-1.1870114061944674
-1.4580189307315163,-1.1871138793209695
-1.45791196966319,-1.1872163524474715
-1.457805008594864,-1.1873188255739735
-1.4576980475265378,-1.1874212987004753
-1.4575910864582116,-1.1875237718269773
-1.4574841253898856,-1.1876262449534791
-1.4573771643215594,-1.1877287180799811
-1.4572702032532332,-1.187831191206483
-1.4571632421849072,-1.187933664332985
-1.457056281116581,-1.1880361374594868
-1.4569493200482548,-1.1881386105859888
-1.4568423589799289,-1.1882410837124908
-1.4567353979116027,-1.1883435568389926
-1.4566284368432765,-1.1884460299654944
-1.4565214757749505,-1.1885485030919964
-1.456414514706624,-1.1886509762184985
-1.4563075536382981,-1.1887534493450003
-1.4562005925699721,-1.1888559224715023
-1.4560936315016457,-1.188958395598004
-1.4559866704333198,-1.1890608687245061
-1.4558797093649938,-1.189163341851008
-1.4557727482966674,-1.18926581497751
-1.4556657872283414,-1.1893682881040117
-1.4555588261600152,-1.1894707612305138
-1.455451865091689,-1.1895732343570158
-1.455344904023363,-1.1896757074835176
-1.4552379429550368,-1.1897781806100196
-1.4551309818867106,-1.1898806537365214
-1.4550240208183847,-1.1899831268630232
-1.4549170597500585,-1.1900855999895255
-1.4548100986817323,-1.1901880731160273
-1.454703137613406,-1.190290546242529
-1.45459617654508,-1.190393019369031
-1.454489215476754,-1.190495492495533
-1.4543822544084277,-1.190597965622035
-1.4542752933401017,-1.1907004387485367
-1.4541683322717756,-1.1908029118750387
-1.4540613712034494,-1.1909053850015408
-1.4539544101351234,-1.1910078581280426
-1.453847449066797,-1.1911103312545446
-1.453740487998471,-1.1912128043810464
-1.453633526930145,-1.1913152775075482
-1.4535265658618186,-1.1914177506340504
-1.4534196047934926,-1.1915202237605522
-1.453359575496359,-1.1916978846688056
-1.4532995461992257,-1.1918755455770589
-1.453239516902092,-1.1920532064853122
-1.4531794876049584,-1.1922308673935655
-1.453119458307825,-1.192408528301819
-1.4530594290106915,-1.1925861892100724
-1.452999399713558,-1.1927638501183255
-1.4529393704164246,-1.192941511026579
-1.4528793411192908,-1.1931191719348324
-1.4528193118221573,-1.1932968328430857
-1.452759282525024,-1.193474493751339
-1.4526992532278904,-1.1936521546595924
-1.4526392239307568,-1.1938298155678457
-1.4525791946336235,-1.1940074764760993
-1.4525191653364897,-1.1941851373843524
-1.4524591360393562,-1.1943627982926057
-1.4523991067422228,-1.1945404592008593
-1.4523390774450893,-1.1947181201091126
-1.4522790481479557,-1.194895781017366
-1.4522190188508222,-1.1950734419256193
-1.4521589895536886,-1.1952511028338726
-1.452098960256555,-1.1954287637421261
-1.4520389309594217,-1.1956064246503793
-1.4519789016622882,-1.1957840855586328
-1.4519188723651544,-1.1959617464668861
-1.451858843068021,-1.1961394073751395
-1.4517988137708875,-1.1963170682833928
-1.451738784473754,-1.1964947291916461
-1.4516787551766206,-1.1966723900998995
-1.451618725879487,-1.1968500510081528
-1.4515586965823535,-1.1970277119164061
-1.45149866728522,-1.1972053728246594
-1.4514386379880864,-1.1973830337329128
-1.4513786086909528,-1.197560694641166
-1.4513185793938193,-1.1977383555494197
-1.4512585500966857,-1.1979160164576728
-1.4511985207995524,-1.1980936773659263
-1.4511384915024188,-1.1982713382741796
-1.4510784622052852,-1.198448999182433
-1.451018432908152,-1.1986266600906863
-1.4509584036110184,-1.1988043209989399
-1.4508983743138848,-1.198981981907193
-1.4508383450167512,-1.1991596428154465
-1.4507783157196177,-1.1993373037236998
-1.4507182864224841,-1.1995149646319532
-1.4506582571253506,-1.1996926255402065
-1.450598227828217,-1.1998702864484598
-1.4505381985310835,-1.2000479473567132
-1.45047816923395,-1.2002256082649665
-1.4504181399368166,-1.2004032691732198
-1.450358110639683,-1.2005809300814732
-1.4502980813425494,-1.2007585909897265
-1.4502380520454161,-1.2009362518979798
-1.4501780227482826,-1.2011139128062331
-1.450117993451149,-1.2012915737144865
-1.4500579641540154,-1.20146923462274
-1.4499979348568819,-1.2016468955309931
-1.4499379055597483,-1.2018245564392467
-1.4498778762626148,-1.2020022173475
-1.4498178469654812,-1.2021798782557533
-1.4497578176683477,-1.2023575391640067
-1.4496977883712143,-1.2025352000722602
-1.4496377590740805,-1.2027128609805133
-1.4495777297769472,-1.2028905218887669
-1.4495177004798139,-1.2030681827970202
-1.44945767118268,-1.2032458437052735
-1.4493976418855468,-1.2034235046135269
-1.4493376125884132,-1.2036011655217802
-1.4492775832912796,-1.2037788264300335
-1.449217553994146,-1.2039564873382869
-1.4491575246970125,-1.2041341482465402
-1.449097495399879,-1.2043118091547935
-1.4490374661027454,-1.2044894700630469
-1.448977436805612,-1.2046671309713002
-1.4489174075084785,-1.2048447918795535
-1.4488573782113447,-1.205022452787807
-1.4487973489142114,-1.2052001136960604
-1.4487373196170779,-1.2053777746043137
-1.4486772903199445,-1.205555435512567
-1.448617261022811,-1.2057330964208204
-1.4485572317256772,-1.2059107573290737
-1.4484972024285439,-1.2060884182373273
-1.4484371731314103,-1.2062660791455806
-1.4483771438342767,-1.2064437400538337
-1.4483171145371434,-1.2066214009620873
-1.4482570852400098,-1.2067990618703406
-1.448197055942876,-1.206976722778594
-1.4481370266457427,-1.2071543836868472
-1.4480769973486092,-1.2073320445951006
-1.4480169680514756,-1.207509705503354
-1.4479569387543423,-1.2076873664116075
-1.4478969094572085,-1.2078650273198606
-1.447836880160075,-1.208042688228114
-1.4477768508629416,-1.2082203491363674
-1.447716821565808,-1.2083980100446208
-1.4476567922686745,-1.2085756709528739
-1.4475967629715412,-1.2087533318611274
-1.4475367336744074,-1.2089309927693808
-1.447221271718538,-1.2118491564722567
-1.4469058097626681,-1.2147673201751323
-1.4465903478067985,-1.2176854838780082
-1.446274885850929,-1.2206036475808841
-1.445959423895059,-1.2235218112837598
-1.4456439619391894,-1.2264399749866357
-1.44532849998332,-1.2293581386895116
-1.4450130380274502,-1.2322763023923873
-1.4446975760715806,-1.2351944660952632
-1.444382114115711,-1.238112629798139
-1.444066652159841,-1.2410307935010148
-1.4437511902039717,-1.2439489572038906
-1.443435728248102,-1.2468671209067665
-1.4431202662922322,-1.2497852846096422
-1.4428048043363626,-1.2527034483125181
-1.442489342380493,-1.255621612015394
-1.4421738804246231,-1.2585397757182697
-1.4418584184687537,-1.2614579394211456
-1.441542956512884,-1.2643761031240213
-1.4412274945570145,-1.2672942668268972
-1.4409120326011446,-1.270212430529773
-1.440596570645275,-1.2731305942326487
-1.4402811086894056,-1.2760487579355246
-1.4399656467335358,-1.2789669216384003
-1.4396501847776662,-1.2818850853412762
-1.4393347228217963,-1.284803249044152
-1.4390192608659267,-1.287721412747028
-1.438703798910057,-1.2906395764499037
-1.4383883369541874,-1.2935577401527794
-1.4380728749983178,-1.2964759038556553
-1.4377574130424482,-1.2993940675585312
-1.4374419510865786,-1.302312231261407
-1.437126489130709,-1.305230394964283
-1.436811027174839,-1.3081485586671586
-1.4364955652189695,-1.3110667223700343
-1.4361801032630999,-1.3139848860729102
-1.4358646413072302,-1.316903049775786
-1.4355491793513604,-1.319821213478662
-1.4352337173954908,-1.322739377181538
-1.4349182554396211,-1.3256575408844136
-1.4346027934837515,-1.3285757045872892
-1.434287331527882,-1.3314938682901651
-1.4339718695720123,-1.334412031993041
-1.4336564076161427,-1.337330195695917
-1.433340945660273,-1.3402483593987928
-1.4330254837044034,-1.3431665231016685
-1.4327100217485338,-1.3460846868045442
-1.432394559792664,-1.34900285050742
-1.4320790978367943,-1.351921014210296
-1.4317636358809247,-1.3548391779131717
-1.431448173925055,-1.3577573416160476
-1.4311327119691852,-1.3606755053189232
-1.4308172500133156,-1.3635936690217991
-1.430501788057446,-1.366511832724675
-1.4301863261015764,-1.369429996427551
-1.4298708641457067,-1.3723481601304266
-1.4295554021898371,-1.3752663238333025
-1.4292399402339675,-1.3781844875361782
-1.4289244782780979,-1.381102651239054
-1.4286090163222283,-1.38402081494193
-1.4282935543663586,-1.3869389786448059
-1.4279780924104888,-1.3898571423476815
-1.4276626304546192,-1.3927753060505574
-1.4273471684987495,-1.3956934697534331
-1.4270317065428797,-1.398611633456309
-1.4267162445870103,-1.401529797159185
-1.4264007826311405,-1.4044479608620608
-1.4260853206752708,-1.4073661245649365
-1.4257698587194012,-1.4102842882678124
-1.4254543967635316,-1.413202451970688
-1.425138934807662,-1.416120615673564
-1.4248234728517921,-1.4190387793764399
-1.4245080108959227,-1.4219569430793157
-1.424192548940053,-1.4248751067821914
-1.4238770869841832,-1.4277932704850673
-1.4235616250283136,-1.430711434187943
-1.423246163072444,-1.433629597890819
-1.4229307011165742,-1.4365477615936948
-1.4226152391607045,-1.4394659252965705
-1.4222997772048351,-1.4423840889994464
-1.4219843152489653,-1.4453022527023223
-1.4216688532930957,-1.448220416405198
-1.421353391337226,-1.4511385801080738
-1.4210379293813564,-1.4540567438109497
-1.4207224674254868,-1.4569749075138254
-1.4204070054696172,-1.4598930712167013
-1.4200915435137473,-1.4628112349195772
-1.4197760815578777,-1.4657293986224529
-1.419460619602008,-1.4686475623253288
-1.4191451576461385,-1.4715657260282047
-1.4188296956902688,-1.4744838897310804
-1.4185142337343992,-1.4774020534339563
-1.4181987717785294,-1.4803202171368322
-1.4178833098226598,-1.4832383808397078
-1.4175678478667901,-1.4861565445425837
-1.4172523859109205,-1.4890747082454594
-1.4169369239550509,-1.491992871948335
-1.4166214619991813,-1.494911035651211
-1.4166544309636304,-1.4948203053191853
-1.4166873999280793,-1.4947295749871599
-1.4167203688925287,-1.4946388446551344
-1.4167533378569777,-1.494548114323109
-1.4167863068214268,-1.4944573839910833
-1.416819275785876,-1.4943666536590576
-1.4168522447503251,-1.4942759233270322
-1.416885213714774,-1.4941851929950065
-1.4169181826792234,-1.494094462662981
-1.4169511516436724,-1.4940037323309554
-1.4169841206081215,-1.4939130019989297
-1.4170170895725709,-1.4938222716669043
-1.4170500585370198,-1.4937315413348786
-1.417083027501469,-1.4936408110028532
-1.4171159964659181,-1.4935500806708275
-1.4171489654303673,-1.4934593503388018
-1.4171819343948162,-1.4933686200067764
-1.4172149033592656,-1.4932778896747507
-1.4172478723237147,-1.493187159342725
-1.4172808412881637,-1.4930964290106996
-1.417313810252613,-1.493005698678674
-1.417346779217062,-1.4929149683466485
-1.4173797481815111,-1.4928242380146228
-1.4174127171459603,-1.4927335076825972
-1.4174456861104094,-1.4926427773505717
-1.4174786550748584,-1.492552047018546
-1.4175116240393077,-1.4924613166865206
-1.4175445930037567,-1.492370586354495
-1.4175775619682058,-1.4922798560224693
-1.417610530932655,-1.4921891256904438
-1.4176434998971041,-1.4920983953584182
-1.4176764688615533,-1.4920076650263927
-1.4177094378260024,-1.491916934694367
-1.4177424067904516,-1.4918262043623414
-1.4177753757549008,-1.491735474030316
-1.41780834471935,-1.4916447436982905
-1.417841313683799,-1.4915540133662648
-1.4178742826482482,-1.4914632830342391
-1.4179072516126972,-1.4913725527022135
-1.4179402205771463,-1.491281822370188
-1.4179731895415955,-1.4911910920381626
-1.4180061585060446,-1.491100361706137
-1.4180391274704938,-1.4910096313741112
-1.418072096434943,-1.4909189010420856
-1.4181050653993919,-1.4908281707100601
-1.418138034363841,-1.4907374403780347
-1.4181710033282902,-1.490646710046009
-1.4182039722927393,-1.4905559797139833
-1.4182369412571885,-1.4904652493819577
-1.4182699102216376,-1.4903745190499322
-1.4183028791860868,-1.4902837887179068
-1.418335848150536,-1.4901930583858811
-1.418368817114985,-1.4901023280538555
-1.4184017860794342,-1.49001159772183
-1.4184347550438834,-1.4899208673898046
-1.4184677240083323,-1.489830137057779
-1.4185006929727815,-1.4897394067257532
-1.4185336619372306,-1.4896486763937276
-1.4185666309016796,-1.489557946061702
-1.418599599866129,-1.4894672157296767
-1.418632568830578,-1.489376485397651
-1.418665537795027,-1.4892857550656253
-1.4186985067594762,-1.4891950247335997
-1.4187314757239253,-1.4891042944015742
-1.4187644446883745,-1.4890135640695488
